lake.name,habitat,proportion,species.richness
Long,terrestrial,0.745904076,41
Long,wetland,0.10260965,23
Long,aquatic,0.151486273,13
Fourth,terrestrial,0.67357513,24
Fourth,wetland,0.117079136,13
Fourth,aquatic,0.209345734,8
Austin,terrestrial,0.216975154,29
Austin,wetland,0.05430763,10
Austin,aquatic,0.728717216,9
Dumont,terrestrial,0.857553572,32
Dumont,wetland,0.063712958,23
Dumont,aquatic,0.07873347,13
Cass,terrestrial,0.312424616,27
Cass,wetland,0.180840517,12
Cass,aquatic,0.506734868,16
Thompson,terrestrial,0.070318449,13
Thompson,wetland,0.062801414,5
Thompson,aquatic,0.866880137,7
Holloway.Reservoir,terrestrial,0.855990271,54
Holloway.Reservoir,wetland,0.072279993,23
Holloway.Reservoir,aquatic,0.071729736,8
Haithco,terrestrial,0.608282403,38
Haithco,wetland,0.050468692,9
Haithco,aquatic,0.341248905,6
Pickerel,terrestrial,0.937426679,21
Pickerel,wetland,0.004356486,11
Pickerel,aquatic,0.058216834,9
Kimball,terrestrial,0.951714231,26
Kimball,wetland,0.006923359,12
Kimball,aquatic,0.04136241,12
Pentwater,terrestrial,0.845142525,47
Pentwater,wetland,0.047730615,25
Pentwater,aquatic,0.10712686,17
George,terrestrial,0.297607131,27
George,wetland,0.027243196,11
George,aquatic,0.675149672,12
Houghton,terrestrial,0.431035693,28
Houghton,wetland,0.094728434,7
Houghton,aquatic,0.474235874,11
Five.Channels,terrestrial,0.651970848,28
Five.Channels,wetland,0.033719975,15
Five.Channels,aquatic,0.314309177,16
Higgins,terrestrial,0.941933581,19
Higgins,wetland,0.000436501,1
Higgins,aquatic,0.057629918,4
Torch,terrestrial,0.931256805,29
Torch,wetland,0.0619046,8
Torch,aquatic,0.006838596,2
Walloon,terrestrial,0.902838992,45
Walloon,wetland,0.046287079,14
Walloon,aquatic,0.050873928,13
Ocqueoc,terrestrial,0.650051632,43
Ocqueoc,wetland,0.028216167,22
Ocqueoc,aquatic,0.321732201,18
Mullett,terrestrial,0.69352391,8
Mullett,wetland,0.190435857,3
Mullett,aquatic,0.116040233,7
Wycamp,terrestrial,0.430986728,13
Wycamp,wetland,0.166964801,6
Wycamp,aquatic,0.402048471,8
Brevort,terrestrial,0.310027038,20
Brevort,wetland,0.008111505,4
Brevort,aquatic,0.681861457,10
Big.Manistique,terrestrial,0.862958396,20
Big.Manistique,wetland,0.107359002,8
Big.Manistique,aquatic,0.029682601,4
