species,habitat,origin,life.habitat
Abies_balsamea,terrestrial,native,tree
Acer_palmatum,terrestrial,alien,tree
Acer_spicatum,terrestrial,native,tree
Acorus_calamus,wetland,alien,forb
Aegopodium_podagraria,terrestrial,alien,forb
Ailanthus_altissima,terrestrial,alien,tree
Ambrosia_artemisiifolia,terrestrial,native,forb
Ammophila_breviligulata,terrestrial,native,grass
Amphicarpaea_bracteata,terrestrial,native,vine
Anthoxanthum_odoratum,terrestrial,alien,grass
Anticlea_elegans,wetland,native,forb
Apios_americana,wetland,native,vine
Apocynum_cannabinum,terrestrial,native,forb
Artemisia_campestris,terrestrial,native,forb
Arum_italicum,wetland,alien,forb
Asparagus_officinalis,terrestrial,alien,forb
Berteroa_incana,terrestrial,alien,forb
Bidens_bipinnata,terrestrial,alien,forb
Boehmeria_cylindrica,wetland,native,forb
Brasenia_schreberi,aquatic,native,forb
Brassica_oleracea,terrestrial,alien,forb
Brassica_rapa,terrestrial,alien,forb
Butomus_umbellatus,wetland,alien,forb
Callitriche_palustris,aquatic,native,forb
Caltha_palustris,wetland,native,forb
Calystegia_silvatica,terrestrial,alien,vine
Capsella_bursa_pastoris,terrestrial,alien,forb
Carduus_acanthoides,terrestrial,alien,forb
Carpinus_caroliniana,terrestrial,native,tree
Carya_laciniosa,wetland,native,tree
Celtis_occidentalis,terrestrial,native,tree
Cephalanthus_occidentalis,wetland,native,shrub
Ceratophyllum_demersum,aquatic,native,forb
Cercis_canadensis,terrestrial,native,tree
Chenopodium_album,terrestrial,alien,forb
Circaea_alpina,wetland,native,forb
Citrullus_lanatus,terrestrial,alien,vine
Cladium_mariscoides,wetland,native,sedge
Clematis_terniflora,terrestrial,alien,vine
Comarum_palustre,aquatic,native,forb
Comptonia_peregrina,terrestrial,native,shrub
Cornus_racemosa,terrestrial,native,shrub
Corylus_americana,terrestrial,native,shrub
Crepis_capillaris,terrestrial,alien,forb
Cucumis_sativus,terrestrial,alien,vine 
Cucurbita_pepo,terrestrial,alien,vine
Cynodon_dactylon,terrestrial,alien,grass
Cystopteris_bulbifera,wetland,native,fern
Danthonia_spicata,terrestrial,native,grass
Daucus_carota,terrestrial,alien,forb
Decodon_verticillatus,wetland,native,shrub
Digitaria_ischaemum,terrestrial,alien,grass
Dioscorea_villosa,terrestrial,native,vine
Diospyros_virginiana,terrestrial,alien,tree
Eleocharis_parvula,wetland,native,sedge
Elodea_nuttallii,aquatic,native,forb
Elymus_virginicus,wetland,native,grass
Epilobium_ciliatum,wetland,native,forb
Equisetum_laevigatum,wetland,native,fern
Equisetum_pratense,wetland,native,fern
Erigeron_philadelphicus,terrestrial,native,forb
Erodium_cicutarium,terrestrial,alien,forb
Euonymus_alatus,terrestrial,alien,shrub
Euphorbia_maculata,terrestrial,native,forb
Eutrochium_purpureum,terrestrial,native,forb
Fagus_grandifolia,terrestrial,native,tree
Fallopia_japonica,terrestrial,alien,forb
Festuca_rubra,terrestrial,alien,grass
Frangula_alnus,wetland,alien,shrub
Fraxinus_americana,terrestrial,native,tree
Geranium_pusillum,terrestrial,alien,forb
Geum_canadense,terrestrial,native,forb
Geum_macrophyllum,wetland,native,forb
Ginkgo_biloba,terrestrial,alien,tree
Gleditsia_triacanthos,terrestrial,native,tree
Glycine_max,terrestrial,alien,forb
Hamamelis_virginiana,terrestrial,native,shrub
Heteranthera_dubia,aquatic,native,forb
Hibiscus_rosa_sinensis,terrestrial,alien,shrub
Hippuris_vulgaris,aquatic,native,forb
Humulus_lupulus,terrestrial,native,vine
Hydrophyllum_virginianum,terrestrial,native,forb
Hypericum_kalmianum,wetland,native,shrub
Hypericum_perforatum,terrestrial,alien,forb
Impatiens_capensis,wetland,native,forb
Iris_setosa,wetland,alien,herb
Juncus_articulatus,wetland,native,forb
Juncus_bufonius,wetland,native,forb
Juncus_effusus,wetland,native,forb
Juniperus_horizontalis,terrestrial,native,shrub
Lamium_purpureum,terrestrial,alien,forb
Laportea_canadensis,wetland,native,forb
Larix_decidua,terrestrial,alien,tree
Lavandula_angustifolia,terrestrial,alien,forb
Leersia_oryzoides,wetland,native,grass
Lemna_minor,aquatic,native,forb
Linnaea_amabilis,terrestrial,alien,tree
Liriodendron_tulipifera,terrestrial,native,tree
Lolium_multiflorum,terrestrial,alien,grass
Lonicera_tatarica,terrestrial,alien,shrub
Lotus_pedunculatus,wetland,alien,forb
Ludwigia_palustris,wetland,native,forb
Lysimachia_terrestris,wetland,native,forb
Lythrum_salicaria,wetland,alien,forb
Maclura_pomifera,terrestrial,alien,tree
Magnolia_acuminata,terrestrial,alien,tree
Malus_coronaria,terrestrial,native,tree 
Matteuccia_struthiopteris,terrestrial,native,fern
Menispermum_canadense,terrestrial,native,vine
Mitella_nuda,wetland,native,forb
Monarda_didyma,terrestrial,native,forb
Morus_nigra,terrestrial,alien,tree
Morus_rubra,wetland,native,tree
Myriophyllum_heterophyllum,aquatic,native,forb
Myriophyllum_verticillatum,aquatic,native,forb
Najas_flexilis,aquatic,native,forb
Najas_gracillima,aquatic,native,forb
Najas_marina,aquatic,alien,forb
Najas_minor,aquatic,alien,forb
Nepeta_cataria,terrestrial,alien,forb
Nuphar_advena,aquatic,native,forb
Nymphaea_alba,aquatic,alien,forb
Nymphaea_odorata,aquatic,native,forb
Nyssa_sylvatica,wetland,native,tree
Oenothera_biennis,terrestrial,native,forb
Osmunda_regalis,wetland,native,fern
Osmundastrum_cinnamomeum,wetland,native,fern
Oxalis_dillenii,terrestrial,alien,forb
Parthenocissus_quinquefolia,terrestrial,native,vine
Peltandra_virginica,wetland,native,forb
Penthorum_sedoides,wetland,native,forb
Persicaria_hydropiperoides,wetland,native,forb
Persicaria_sagittata,wetland,native,vine
Phaseolus_vulgaris,terrestrial,alien,forb
Phellodendron_amurense,terrestrial,alien,tree
Philadelphus_coronarius,terrestrial,alien,shrub
Phleum_pratense,terrestrial,alien,grass
Phragmites_australis,wetland,na,grass
Phyla_lanceolata,wetland,native,forb
Picea_glauca,terrestrial,native,tree
Pilea_pumila,wetland,native,forb
Pinus_banksiana,terrestrial,native,tree
Pinus_resinosa,terrestrial,native,tree
Pinus_strobiformis,terrestrial,alien,tree
Pinus_strobus,terrestrial,native,tree
Pisum_sativum,terrestrial,alien,vine
Plantago_lanceolata,terrestrial,alien,forb
Platanus_occidentalis,wetland,native,tree
Poa_annua,terrestrial,alien,grass
Polygonum_arenastrum,terrestrial,alien,forb
Pontederia_cordata,wetland,native,forb
Populus_deltoides,terrestrial,native,tree
Potamogeton_gramineus,aquatic,native,forb
Potentilla_anserina,wetland,native,forb
Potentilla_pensylvanica,terrestrial,alien,forb
Prunus_domestica,terrestrial,alien,tree
Prunus_serotina,terrestrial,native,tree
Prunus_serrulata,terrestrial,alien,tree
Quercus_alba,terrestrial,native,tree 
Ranunculus_acris,terrestrial,alien,forb
Ranunculus_aquatilis,aquatic,native,forb
Rhamnus_davurica,terrestrial,alien,tree
Rhus_glabra,terrestrial,native,shrub
Rhynchospora_alba,wetland,native,sedge
Ribes_rubrum,terrestrial,alien,shrub
Robinia_pseudoacacia,terrestrial,alien,tree
Rorippa_sylvestris,wetland,alien,forb
Rosa_palustris,wetland,native,shrub
Rubus_occidentalis,terrestrial,native,shrub
Rudbeckia_hirta,terrestrial,native,forb
Rumex_longifolius,terrestrial,alien,forb
Sagittaria_latifolia,wetland,native,forb
Salix_exigua,wetland,native,shrub
Salix_lucida,wetland,native,shrub
Salix_nigra,wetland,native,tree
Salsola_tragus,terrestrial,alien,forb
Sarracenia_purpurea,wetland,native,forb
Sassafras_albidum,terrestrial,native,tree
Saururus_cernuus,wetland,native,forb
Schoenoplectus_tabernaemontani,wetland,native,sedge
Scutellaria_parvula,terrestrial,native,forb
Shepherdia_canadensis,terrestrial,native,shrub
Silene_virginica,terrestrial,native,forb
Sinapis_arvensis,terrestrial,alien,forb
Smilax_tamnoides,terrestrial,native,vine
Solanum_dulcamara,terrestrial,alien,vine
Solanum_lycopersicum,terrestrial,alien,forb
Sparganium_natans,aquatic,native,forb
Sporobolus_vaginiflorus,terrestrial,native,grass
Staphylea_trifolia,terrestrial,native,shrub
Stuckenia_pectinata,aquatic,native,forb
Symphytum_officinale,terrestrial,alien,forb
Symplocarpus_foetidus,wetland,native,forb
Taxodium_distichum,wetland,alien,tree
Taxus_canadensis,terrestrial,native,shrub
Thalictrum_dioicum,terrestrial,native,forb
