lake_name,sample,sample_type,mothur_id,latitude,longitude,Total,Aquatic,Wetland,Terrestrial
Austin.Lake,AUS_01,surface,AUS@01,42.172549,-85.555731,4,2,0,2
Austin.Lake,AUS_02,benthic,AUS@02,42.171633,-85.554749,10,4,2,2
Austin.Lake,AUS_03,surface,AUS@03,42.172578,-85.553855,4,2,0,2
Austin.Lake,AUS_04,surface,AUS@04,42.172077,-85.552223,1,1,0,0
Austin.Lake,AUS_05,surface,AUS@05,42.168736,-85.55256,6,2,1,1
Austin.Lake,AUS_06,surface,AUS@06,42.169328,-85.562576,2,1,0,1
Austin.Lake,AUS_07,benthic,AUS@07,42.169106,-85.562246,10,4,2,4
Austin.Lake,AUS_08,surface,AUS@08,42.163669,-85.564153,5,4,1,0
Austin.Lake,AUS_09,benthic,AUS@09,42.16693,-85.557918,4,2,0,1
Austin.Lake,AUS_10,surface,AUS@10,42.165792,-85.555365,6,3,0,3
Austin.Lake,AUS_11,surface,AUS@11,42.167474,-85.551348,4,0,1,3
Austin.Lake,AUS_12,surface,AUS@12,42.165996,-85.547834,7,1,0,6
Austin.Lake,AUS_13,surface,AUS@13,42.166702,-85.542627,0,0,0,0
Austin.Lake,AUS_14,surface,AUS@14,42.16667,-85.540284,3,0,1,1
Austin.Lake,AUS_15,benthic,AUS@15,42.16955,-85.545637,7,3,1,3
Austin.Lake,AUS_16,surface,AUS@16,42.171203,-85.543476,0,0,0,0
Austin.Lake,AUS_17,surface,AUS@17,42.172696,-85.542424,5,2,0,2
Austin.Lake,AUS_18,benthic,AUS@18,42.17404,-85.541666,0,0,0,0
Austin.Lake,AUS_19,surface,AUS@19,42.175083,-85.541201,2,0,1,0
Austin.Lake,AUS_20,benthic,AUS@20,42.175345,-85.540958,4,3,1,0
Austin.Lake,AUS_21,surface,AUS@21,42.171091,-85.538321,1,0,0,1
Austin.Lake,AUS_22,benthic,AUS@22,42.174627,-85.538753,4,2,0,2
Austin.Lake,AUS_23,surface,AUS@23,42.177993,-85.541667,4,2,0,0
Austin.Lake,AUS_24,surface,AUS@24,42.180734,-85.543351,1,1,0,0
Austin.Lake,AUS_25,surface,AUS@25,42.184364,-85.543352,3,1,1,1
Austin.Lake,AUS_26,surface,AUS@26,42.176112,-85.545645,2,2,0,0
Austin.Lake,AUS_27,benthic,AUS@27,42.169398,-85.551187,6,3,1,2
Austin.Lake,AUS_28,surface,AUS@28,42.173562,-85.550991,1,1,0,0
Austin.Lake,AUS_29,surface,AUS@29,42.178777,-85.552183,0,0,0,0
