tree.id,site,latitude,longitude,perimeter.feet,dbh.cm,group,species
BBR01,BBRSP,29.546001,-103.80385,4.85,47.08,4,Q.grisea
BBR02,BBRSP,29.547413,-103.805238,3.14,30.48,1,Q.grisea
BBR03,BBRSP,29.547662,-103.805875,4.32,41.93,4,Q.grisea
BBR04,BBRSP,29.547341,-103.806424,6.6,64.07,4,Q.grisea
BBR05,BBRSP,29.547387,-103.806407,4.12,39.99,4,Q.grisea
BBR06,BBRSP,29.547377,-103.806477,5.2,50.48,4,Q.grisea
BBR07,BBRSP,29.547174,-103.806604,1.01,9.8,4,Q.grisea
BBR08,BBRSP,29.547193,-103.806548,1.74,16.89,4,Q.grisea
BBR09,BBRSP,29.54634,-103.808167,2.42,23.49,4,Q.grisea
BBR10,BBRSP,29.545268,-103.809131,1.25,12.13,4,Q.grisea
BBR11,BBRSP,29.55052,-103.795676,2.09,20.29,4,Q.grisea
BBR12,BBRSP,29.548014,-103.797859,2,19.41,4,Q.grisea
BBR13,BBRSP,29.546965,-103.800447,6.08,59.02,4,Q.grisea
BBR14,BBRSP,29.546257,-103.802246,3.87,37.57,4,Q.grisea
BBR15,BBRSP,29.549762,-103.787209,0.97,9.42,1,Q.grisea
BBR16,BBRSP,29.549515,-103.787394,0.91,8.83,1,Q.grisea
BBR17,BBRSP,29.549439,-103.787313,3.49,33.88,1,Q.grisea
BBR18,BBRSP,29.549332,-103.78724,2.73,26.5,4,Q.grisea
BBR19,BBRSP,29.549706,-103.786655,1.5,14.56,1,Q.grisea
BBR20,BBRSP,29.549771,-103.78654,2.47,23.98,4,Q.grisea
BBR21,BBRSP,29.549647,-103.786704,1.48,14.37,4,Q.grisea
BBR22,BBRSP,29.549735,-103.78557,0.54,5.24,1,Q.grisea
BBR23,BBRSP,29.550687,-103.78538,0.56,5.44,4,Q.grisea
BBR24,BBRSP,29.552034,-103.783867,0.48,4.66,1,Q.grisea
BBR25,BBRSP,29.552024,-103.783318,1.33,12.91,2,Q.grisea
BBR26,BBRSP,29.552349,-103.783252,0.5,4.85,3,Q.grisea
BBR27,BBRSP,29.552641,-103.783276,1.25,12.13,1,Q.grisea
DDR01,DDRS,29.554244,-103.793862,0.25,2.43,4,Q.grisea
DDR02,DDRS,29.554237,-103.793894,1,9.71,4,Q.grisea
DDR03,DDRS,29.554244,-103.793862,0.35,3.4,4,Q.grisea
DDR04,DDRS,29.552251,-103.793509,3.78,36.69,4,Q.grisea
