lake.name,sample,sample.type,Abies.balsamea,Acer.palmatum,Acer.spicatum,Acorus.calamus,Aegopodium.podagraria,Ailanthus.altissima,Ambrosia.artemisiifolia,Ammophila.breviligulata,Amphicarpaea.bracteata,Anthoxanthum.odoratum,Anticlea.elegans,Apios.americana,Apocynum.cannabinum,Artemisia.campestris,Arum.italicum,Asparagus.officinalis,Berteroa.incana,Boehmeria.cylindrica,Brasenia.schreberi,Brassica.oleracea,Brassica.rapa,Butomus.umbellatus,Callitriche.palustris,Caltha.palustris,Calystegia.silvatica,Capsella.bursa.pastoris,Carduus.acanthoides,Carpinus.caroliniana,Carya.laciniosa,Celtis.occidentalis,Cephalanthus.occidentalis,Ceratophyllum.demersum,Cercis.canadensis,Chenopodium.album,Circaea.alpina,Citrullus.lanatus,Cladium.mariscoides,Clematis.terniflora,Comarum.palustre,Comptonia.peregrina,Cornus.racemosa,Corylus.americana,Crepis.capillaris,Cucumis.sativus,Cucurbita.pepo,Cynodon.dactylon,Cystopteris.bulbifera,Danthonia.spicata,Daucus.carota,Decodon.verticillatus,Digitaria.ischaemum,Dioscorea.villosa,Diospyros.virginiana,Eleocharis.parvula,Elodea.nuttallii,Elymus.virginicus,Epilobium.ciliatum,Equisetum.laevigatum,Equisetum.pratense,Erigeron.philadelphicus,Erodium.cicutarium,Euonymus.alatus,Euphorbia.maculata,Eutrochium.purpureum,Fagus.grandifolia,Fallopia.japonica,Festuca.rubra,Frangula.alnus,Fraxinus.americana,Geranium.pusillum,Geum.canadense,Geum.macrophyllum,Ginkgo.biloba,Gleditsia.triacanthos,Glycine.max,Hamamelis.virginiana,Heteranthera.dubia,Hibiscus.rosa.sinensis,Hippuris.vulgaris,Humulus.lupulus,Hydrophyllum.virginianum,Hypericum.kalmianum,Hypericum.perforatum,Impatiens.capensis,Juncus.articulatus,Juncus.bufonius,Juncus.effusus,Juniperus.horizontalis,Lamium.purpureum,Laportea.canadensis,Larix.decidua,Lavandula.angustifolia,Leersia.oryzoides,Lemna.minor,Liriodendron.tulipifera,Lolium.multiflorum,Lonicera.tatarica,Ludwigia.palustris,Lysimachia.terrestris,Lythrum.salicaria,Maclura.pomifera,Magnolia.acuminata,Malus.coronaria,Matteuccia.struthiopteris,Menispermum.canadense,Mitella.nuda,Monarda.didyma,Myriophyllum.heterophyllum,Myriophyllum.verticillatum,Najas.flexilis,Najas.gracillima,Najas.marina,Najas.minor,Nepeta.cataria,Nuphar.advena,Nyssa.sylvatica,Oenothera.biennis,Osmunda.regalis,Osmundastrum.cinnamomeum,Oxalis.dillenii,Parthenocissus.quinquefolia,Peltandra.virginica,Penthorum.sedoides,Persicaria.hydropiperoides,Persicaria.sagittata,Phaseolus.vulgaris,Phellodendron.amurense,Philadelphus.coronarius,Phleum.pratense,Phragmites.australis,Phyla.lanceolata,Picea.glauca,Pilea.pumila,Pinus.banksiana,Pinus.resinosa,Pinus.strobiformis,Pinus.strobus,Pisum.sativum,Plantago.lanceolata,Platanus.occidentalis,Poa.annua,Polygonum.arenastrum,Pontederia.cordata,Populus.deltoides,Potamogeton.gramineus,Potentilla.anserina,Potentilla.pensylvanica,Prunus.domestica,Prunus.serotina,Quercus.alba,Ranunculus.acris,Ranunculus.aquatilis,Rhamnus.davurica,Rhus.glabra,Rhynchospora.alba,Ribes.rubrum,Robinia.pseudoacacia,Rorippa.sylvestris,Rosa.palustris,Rubus.occidentalis,Rudbeckia.hirta,Rumex.longifolius,Sagittaria.latifolia,Salix.exigua,Salix.lucida,Salix.nigra,Salsola.tragus,Sarracenia.purpurea,Sassafras.albidum,Saururus.cernuus,Schoenoplectus.tabernaemontani,Scutellaria.parvula,Shepherdia.canadensis,Silene.virginica,Sinapis.arvensis,Smilax.tamnoides,Solanum.dulcamara,Solanum.lycopersicum,Sparganium.natans,Sporobolus.vaginiflorus,Staphylea.trifolia,Stuckenia.pectinata,Symphytum.officinale,Symplocarpus.foetidus,Taxodium.distichum,Taxus.canadensis,Thalictrum.dioicum,Thuja.occidentalis,Tilia.cordata,Trifolium.campestre,Trifolium.repens,Trillium.grandiflorum,Triticum.aestivum,Tsuga.canadensis,Ulmus.glabra,Ulmus.thomasii,Urtica.dioica,Utricularia.macrorhiza,Utricularia.purpurea,Utricularia.resupinata,Vaccinium.corymbosum,Vallisneria.americana,Verbena.bonariensis,Veronica.americana,Veronica.arvensis,Vinca.minor,Vitis.labrusca,Wisteria.sinensis,Wolffia.brasiliensis,Wolffia.columbiana,Xanthium.strumarium,Zannichellia.palustris
Austin Lake,AUS_01,surface,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,AUS_02,benthic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2319,0,0,0,0,0,33,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,AUS_03,surface,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,AUS_04,surface,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,AUS_05,surface,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,AUS_06,surface,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,AUS_07,benthic,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,AUS_08,surface,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,AUS_09,benthic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,AUS_10,surface,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
